Bootstraps,Error
564,79.47751475691268
565,81.51638805636492
566,84.33080587049885
567,80.34350191485564
568,83.05278819808498
569,84.5809074982133
570,84.71481176956821
571,80.95353033337345
572,80.23826404968557
573,79.60890817194766
574,84.969412726746
575,82.1922769580328
576,83.18770074461793
577,82.00683203378387
578,84.18647498311218
579,82.44628030807218
580,82.48322936644853
581,81.85365921570975
582,83.3578800905287
583,81.50933995955462
584,81.66587997819774
585,81.7641309308324
586,81.36722517441868
587,81.32371639842881
588,85.11166775808705
589,81.39830915236911
590,83.51009505239827
591,86.84508656165504
592,82.38418651198786
593,86.20742585298468
594,83.04068083923532
595,82.84337938676448
596,86.18199309208072
597,84.53322385203423
598,83.66119846109957
599,85.18920503919686
600,81.6450966491816
601,85.32271036020951
602,80.19248373073576
603,81.31316608046691
604,81.38736496118973
605,80.36830250847383
606,83.69667876098966
607,81.51507296140468
608,79.84835452603377
609,81.4258509785726
610,81.6967747492289
611,82.18077392052099
612,82.22580327739281
613,80.0721136908209
614,85.42511969860684
615,83.41735364353381
616,81.41744505835929
617,81.92685446322355
618,78.81714749631438
619,81.2788384336019
620,84.90639238571707
621,81.79651339716199
622,83.01367833752431
623,82.80754242028344
624,81.71476333515695
625,81.66243441626467
626,80.2101045724572
627,78.33921099210035
628,83.23877416801818
629,81.42722816302441
630,81.18351934756065
631,82.37739959106804
632,83.17802648822365
633,83.48477260652403
634,80.96227780307025
635,83.488976937652
636,85.65775165298086
637,80.93030003025781
638,79.33688637002052
639,78.52791021340875
640,84.63430220389127
641,80.57171696394943
642,83.18310053955497
643,84.60422631382548
644,85.03071591665619
645,82.329079730189
646,82.19688030238804
647,82.03181946834691
648,85.49975721888278
649,78.72808385573714
650,83.3019441513977
651,84.12416316671835
652,79.73224096138716
653,80.90250760813801
654,83.29764231063807
655,81.12648141115774
656,81.00491776713457
657,83.7397497346847
658,84.23006979171276
659,81.58831864619331
660,81.84687435056298
661,83.654260440777
662,84.760211955136
663,82.46489682735105
664,85.12499054755418
665,81.78325580021203
666,83.43390027866673
667,80.7837499758396
668,87.77970156275997
669,84.69308247261078
670,83.37148582450511
671,83.2618363412177
672,82.22254504684913
673,78.21873264879567
674,79.90868530850794
675,84.45594812189138
676,81.85935528593635
677,78.81921589479708
678,85.69914237521937
679,81.19212643625522
680,82.02691163361298
681,84.94324785520213
682,82.43273342891798
683,84.46200804449751
684,81.45481773137318
685,84.58452029911818
686,82.48287158337125
687,83.60686142070554
688,81.18853597726464
689,81.09460313867295
690,83.8105453531155
691,83.00895328798602
692,86.14672764477923
693,84.17305304893678
694,82.3239714913112
695,82.40889993596001
696,84.0131770697256
697,83.01369361364107
698,86.60719491478949
699,81.28540885426025
700,81.01950350978947
701,80.16209994206629
702,82.22317215317075
703,78.99468219630815
704,83.58707432556936
705,81.40197512155054
706,80.88142427896746
707,83.31025396156005
708,81.71798949734172
709,78.9819452165337
710,82.53889230243061
711,83.44013228090641
712,82.38930768860912
713,80.47249519846078
714,78.33179331364907
715,81.26240890658376
716,82.1762436438194
717,84.74244565665245
718,84.33643205468142
719,83.15255326357197
720,87.13128987137146
721,81.84480789438017
722,83.3400592398728
723,80.5905628738273
724,82.31529456831363
725,80.13810239987122
726,82.61307187748442
727,78.66346898436727
728,82.8875533392706
729,81.46512804526238
730,82.7914427911619
731,81.01813581170404
732,83.13402643888595
733,83.1897261689016
734,80.8231900353849
735,82.60280835313868
736,82.18305222404923
737,85.80643940940305
738,82.49270730615503
739,84.01520659669872
740,83.8608676064603
741,82.61821926766025
742,80.63245452331579
743,82.54897005897493
744,84.4888484966552
745,85.41668740285817
746,82.14174673189572
747,80.75128825155583
748,79.01774415923046
749,82.21174067814086
750,84.36748520688755
751,85.02324698791912
752,82.93523148695972
753,80.570837538778
754,78.63481505575729
755,83.44816276632929
756,81.39749421405587
757,81.60658692362199
758,84.38549
