Samples,Time
1800,14.485100553641287
1810,15.72866357189936
1820,14.827612416535912
1830,14.96788702169797
1840,15.25071274742316
1850,14.645585437862954
1860,15.227098231767469
1870,14.222610910942858
1880,14.099464616232096
1890,14.960990579020264
1900,14.697076518080786
1910,14.788193533616374
1920,14.799734275444582
1930,14.267511718057289
1940,14.551109031127618
1950,14.596502928082355
1960,14.951558243866549
1970,13.869571925063399
1980,14.958814788603071
1990,14.575882255671768
2000,14.401159023936351
2010,14.644399030409511
2020,14.339291566989631
2030,14.261308333315743
2040,14.853230258993415
2050,13.732666200389824
2060,13.95005487316707
2070,13.705033836289612
2080,14.034305762152032
2090,13.779014529646956
2100,13.83789577966089
2110,13.740124987931166
2120,14.165487346399534
2130,13.886230884276104
2140,13.561392643785856
2150,14.162234963746673
2160,14.31869517467277
2170,13.696155258405742
2180,13.981449930990834
2190,13.692461987237206
2200,13.64911525019087
2210,13.148595996699187
2220,13.49261332260996
2230,13.641751128615933
2240,13.047045473699981
2250,13.10485248853433
2260,13.96450853552802
2270,13.566000086182143
2280,13.348165821931682
2290,13.760102142430766
2300,13.078159759924635
2310,13.153037765249417
2320,12.867925220193507
2330,13.177312442981188
2340,12.878986511834908
2350,13.331636620640294
2360,13.417278559246823
2370,13.29430093490883
2380,13.29146925228847
2390,12.989965745454432
2400,13.450676084862183
2410,13.19538600660415
2420,13.375536623049396
2430,13.069888614413937
2440,13.095019035158467
2450,12.837784914506777
2460,12.895560603155444
2470,13.183381622215533
2480,12.641664083130758
2490,12.670702869026172
2500,12.440948063657142
2510,13.42326424446536
2520,12.816473488668043
2530,12.596048963083037
2540,12.437657932035036
2550,12.554830269104652
2560,12.74614078820257
2570,12.398069110684776
2580,12.347018682930274
2590,13.116488196891506
2600,12.567912151774948
2610,12.646666174771278
2620,11.852239467449108
2630,12.485167293789038
2640,12.072415055761004
2650,12.41666032560736
2660,12.720556356886847
2670,12.443962793352826
2680,12.229281048925444
2690,11.819996217240396
2700,12.319230650279897
2710,11.627419596427304
2720,12.105065757745013
2730,12.177340893501164
2740,12.306769451362024
2750,11.890523735295556
2760,12.091260348184523
2770,12.276112055196213
2780,11.116844568763922
2790,12.773163611391094
2800,12.750973139511736
2810,12.623110198487234
2820,11.891897405009514
2830,12.100696175394027
2840,11.808992085257204
2850,11.681938090236926
2860,12.299034441103498
2870,11.843360090045364
2880,11.868314958076514
2890,11.823766859507376
2900,12.090776586915508
2910,11.834211291006943
2920,11.509167450059929
2930,11.547484591311129
2940,11.554168723519176
2950,11.863557059285602
2960,11.681016387565839
2970,11.340258706812389
2980,11.708684822171158
2990,11.011318107921442
3000,11.899419520069502
3010,11.316436986923078
3020,11.306966445488145
3030,11.767355212218899
3040,12.130587872375637
3050,11.59298040398962
3060,11.776512025301825
3070,11.531775414810516
3080,11.59532703325282
3090,11.833915266479938
3100,11.536115867239486
3110,11.778544330940399
3120,11.578894896153171
3130,10.966725188395092
3140,11.603814862072458
3150,11.48959270620943
3160,11.82107915167116
3170,10.864317120864248
3180,11.452644076037926
3190,11.517036880540527
3200,11.247489658940756
3210,11.706112112441803
3220,11.409363624214306
3230,11.360570088651354
3240,10.976144845690245
3250,11.27086074593657
3260,11.188774293875062
3270,11.57148490275453
3280,11.256281705607792
3290,11.239425832524109
3300,10.696489768548822
3310,11.159204064006694
3320,10.933540651539872
3330,10.569526866412831
3340,11.21223122286891
3350,11.131752638536305
3360,11.173655765186128
3370,11.237740625603815
3380,11.007526392731329
3390,10.604558287010917
3400,10.46888960747799
3410,11.10585625468257
3420,10.962945811652247
3430,10.843001554409616
3440,11.208943151524357
3450,11.036051349669155
3460,11.041980298856062
3470,10.927565076846161
3480,10.868755853173184
3490,11.193301929927278
3500,10.234710598018665
3510
