bootstraps,time,original,computed,difference
8802,4.2404109907549987E9,3.8602723662557445,3.859852440253266,1.0878144406322003E-4
8902,4.2886001348549986E9,3.8602723662557445,3.859696746464604,1.4911377657503082E-4
9002,4.336839386954E9,3.8602723662557445,3.8594907940299548,2.0246556502640428E-4
9102,4.3849918781519985E9,3.8602723662557445,3.859442278353558,2.1503350629936701E-4
9202,4.433231680811004E9,3.8602723662557445,3.8594139475562446,2.2237257324218422E-4
9302,4.481349291438992E9,3.8602723662557445,3.8593982366463884,2.264424699659305E-4
9402,4.52953453315501E9,3.8602723662557445,3.859463142347926,2.0962870778033974E-4
9502,4.577714565381995E9,3.8602723662557445,3.859583072128557,1.7856100859950778E-4
9602,4.625858189159004E9,3.8602723662557445,3.859454040301409,2.1198658454492996E-4
9702,4.674056674757996E9,3.8602723662557445,3.8593790629266844,2.314094043904421E-4
9802,4.722288129886998E9,3.8602723662557445,3.8593326836104302,2.4342392353670644E-4
9902,4.770477445524001E9,3.8602723662557445,3.8594239219433835,2.1978871744327986E-4
10002,4.818696946224E9,3.8602723662557445,3.8593875755396945,2.2920421983288084E-4
10102,4.866896809093004E9,3.8602723662557445,3.859460639856754,2.1027697581291126E-4
10202,4.915078309363998E9,3.8602723662557445,3.859616423736043,1.6992130540718756E-4
10302,4.963216538690997E9,3.8602723662557445,3.8595624971306886,1.838909428415617E-4
10402,5.011382037244001E9,3.8602723662557445,3.859564305737857,1.8342242482084274E-4
10502,5.059615847618005E9,3.8602723662557445,3.8595574366210923,1.8520186319021152E-4
10602,5.1077866151589985E9,3.8602723662557445,3.859541163316965,1.894174476317647E-4
10702,5.155971655165007E9,3.8602723662557445,3.8595416059236727,1.893027907719022E-4
10802,5.204145132796995E9,3.8602723662557445,3.85961829261454,1.6943717415438182E-4
10902,5.252331025426003E9,3.8602723662557445,3.8597159447454295,1.4414047961460187E-4
11002,5.300539881645003E9,3.8602723662557445,3.859765547818026,1.3129084935791462E-4
11102,5.3486784272680025E9,3.8602723662557445,3.8598135662515434,1.1885171839472757E-4
11202,5.396858848039991E9,3.8602723662557445,3.859789632708161,1.2505168075786877E-4
11302,5.445085106497013E9,3.8602723662557445,3.8599056779124785,9.499027749218081E-5
11402,5.493258972693E9,3.8602723662557445,3.859899635846293,9.655546917098894E-5
11502,5.541460920138003E9,3.8602723662557445,3.859785571026198,1.2610385572840003E-4
11602,5.5896505128740015E9,3.8602723662557445,3.859715786041693,1.4418159167129562E-4
11702,5.637842958728993E9,3.8602723662557445,3.859693854134767,1.498630319545866E-4
11802,5.685975528826992E9,3.8602723662557445,3.8595037721529297,1.9910359422651783E-4
11902,5.734174846890004E9,3.8602723662557445,3.859453322645265,2.1217249270781457E-4
12002,5.7823703534000025E9,3.8602723662557445,3.8594908222561024,2.0245825306886258E-4
12102,5.830572426892001E9,3.8602723662557445,3.8595595518939043,1.8465390371706387E-4
12202,5.878725212531994E9,3.8602723662557445,3.859631963950218,1.6589562724237964E-4
12302,5.926944721636999E9,3.8602723662557445,3.859663445442781,1.5774037559790018E-4
